algorithm,num_communities,min_size,max_size,mean_size,median_size,singleton_communities,modularity,status
leiden,2113,1,2308,23.9,2.0,776,0.7813,ok
louvain,2109,1,2031,23.9,2.0,776,0.7834,ok
label_propagation,12321,1,389,4.1,3.0,776,0.5460,ok
kmeans,100,95,1417,505.0,504.0,0,0.1249,ok
spectral,100,11,12422,505.0,115.0,0,0.1517,ok
agglomerative,100,109,1647,505.0,463.5,0,0.1428,ok
hdbscan,7063,1,21289,7.2,2.0,3285,0.4772,ok
leiden@res=0.5,2109,1,6617,23.9,2.0,776,0.7689,ok
leiden@res=0.25,2211,1,14979,22.8,2.0,776,0.6777,ok
leiden@res=0.1,2364,1,39578,21.4,2.0,776,0.2319,ok
leiden@res=0.05,2093,1,43023,24.1,2.0,776,0.1482,ok
leiden@res=0.01,2026,1,44566,24.9,2.0,776,0.1065,ok
louvain@res=0.5,2171,1,8279,23.3,2.0,776,0.7679,ok
louvain@res=0.25,2476,1,22908,20.4,2.0,776,0.5937,ok
louvain@res=0.1,2382,1,39405,21.2,2.0,776,0.2360,ok
louvain@res=0.05,2097,1,42920,24.1,2.0,776,0.1508,ok
louvain@res=0.01,2026,1,44566,24.9,2.0,776,0.1065,ok
infomap,6087,1,166,8.3,7.0,776,0.6728,ok
leiden@res=2,2181,1,1394,23.1,2.0,776,0.7734,ok
leiden@res=4,2282,1,670,22.1,2.0,776,0.7623,ok
leiden@res=8,2456,1,397,20.6,2.0,776,0.7507,ok
louvain@res=2,2178,1,1383,23.2,2.0,776,0.7765,ok
louvain@res=4,2284,1,619,22.1,2.0,776,0.7641,ok
louvain@res=8,2466,1,393,20.5,2.0,776,0.7521,ok
hdbscan_leiden@res=2,2172,1,1498,23.2,2.0,776,0.7773,ok
hdbscan_leiden@res=4,2285,1,725,22.1,2.0,776,0.7646,ok
hdbscan_leiden@res=8,2450,1,407,20.6,2.0,776,0.7541,ok
