Method,全面性,多样性,直接性,赋能性,忠实性,Overall
qwen3-max,9.797,9.301,7.857,9.586,7.286,8.765
kimi-k2-thinking,8.654,8.150,6.549,8.135,5.789,7.456
deepseek-v3.2,9.308,9.301,6.820,9.316,6.053,8.159
glm-4.7,7.774,7.586,7.820,7.895,6.143,7.444
MiniMax-M2,6.383,6.812,6.414,6.714,4.707,6.206
ERNIE-4.5-Turbo-128K,6.098,6.398,6.444,6.233,5.030,6.041
basic_rag,2.632,2.496,6.323,2.474,6.914,4.168
global,1.662,1.797,2.677,1.692,3.726,2.311
local,3.850,3.782,4.940,3.714,6.838,4.625
reasoning,5.823,5.774,5.271,5.669,7.090,5.926
router,4.011,4.594,4.880,4.564,6.417,4.893
