Method,正确性,全面性,多样性,直接性,赋能性,忠实性,Overall
qwen3-max,8.884,10.054,10.196,6.696,10.054,7.393,8.879
kimi-k2-thinking,9.518,9.839,9.518,7.661,9.679,8.188,9.067
deepseek-v3.2,8.205,8.768,8.714,7.893,8.875,7.768,8.371
glm-4.7,7.482,7.571,7.589,8.286,7.714,7.679,7.720
MiniMax-M2,4.571,4.696,4.786,4.679,4.768,4.464,4.661
ERNIE-4.5-Turbo-128K,5.464,6.143,6.214,6.089,6.089,5.696,5.949
basic_rag,3.848,2.580,2.420,5.402,2.420,5.143,3.635
global,2.902,2.759,3.027,2.848,2.812,2.759,2.851
local,3.464,2.750,2.821,4.232,2.839,4.161,3.378
reasoning,5.295,4.804,5.071,5.482,5.089,5.545,5.214
router,4.277,4.411,4.661,5.107,4.679,5.045,4.696
