algorithm,success,num_communities,min_size,max_size,avg_size,median_size,singleton_count,modularity
louvain,True,2109,1,2031,23.9,2.0,776,0.7834
leiden,True,2113,1,2308,23.9,2.0,776,0.7813
label_propagation,True,12321,1,389,4.1,3.0,776,0.5460
hdbscan,True,7063,1,21289,7.2,2.0,3285,0.4772
spectral,True,100,11,12422,505.0,115.0,0,0.1517
agglomerative,True,100,109,1647,505.0,463.5,0,0.1428
kmeans,True,100,95,1417,505.0,504.0,0,0.1249
leiden@res=0.5,True,2109,1,6617,23.9,2.0,776,0.7689
louvain@res=0.5,True,2171,1,8279,23.3,2.0,776,0.7679
leiden@res=0.25,True,2211,1,14979,22.8,2.0,776,0.6777
louvain@res=0.25,True,2476,1,22908,20.4,2.0,776,0.5937
louvain@res=0.1,True,2382,1,39405,21.2,2.0,776,0.2360
leiden@res=0.1,True,2364,1,39578,21.4,2.0,776,0.2319
louvain@res=0.05,True,2097,1,42920,24.1,2.0,776,0.1508
leiden@res=0.05,True,2093,1,43023,24.1,2.0,776,0.1482
leiden@res=0.01,True,2026,1,44566,24.9,2.0,776,0.1065
louvain@res=0.01,True,2026,1,44566,24.9,2.0,776,0.1065
