normalized_relation,count,proportion,raw_type_count,top_raw_examples
OTHER,36111,12.6050%,9105,OPTIMIZES (443); HOSTS (349); MAINTAINS (224); REFINES (204); SUSCEPTIBLE_TO (185)
HAS_OR_EXHIBITS,35685,12.4563%,4626,EXHIBITS (17774); HAS_VALUE_AT (3539); HAS (1135); HAS_PROPERTY (748); EXHIBIT (391)
CONTAINS_OR_PART_OF,26691,9.3168%,1163,CONTAINS (11291); INCLUDES (6432); PART_OF (1784); INVOLVES (461); COMPOSED_OF (437)
PROMOTES_OR_INCREASES,22050,7.6968%,2616,INCREASES (2801); INCREASES_WITH (2477); ENABLES (2242); IMPROVES (1903); ENHANCES (1668)
OBSERVES_OR_MEASURES,21762,7.5963%,1738,OBSERVED_IN (2046); ANALYZES (1465); MEASURES (1331); CHARACTERIZES (1234); ANALYZED_BY (788)
AFFECTS_OR_INFLUENCES,18541,6.4720%,1257,AFFECTS (6008); INFLUENCES (5165); DETERMINES (786); MODIFIES (545); CONTROLS (504)
PRODUCES_OR_TRANSFORMS_TO,17845,6.2290%,1824,PRODUCES (2769); FORMS (2646); GENERATES (1243); TRANSFORMS_TO (1072); FORMS_AT (550)
CAUSES_OR_CONTRIBUTES_TO,16553,5.7780%,1612,CAUSES (4177); CONTRIBUTES_TO (2727); INDUCES (1358); RESULTS_IN (944); LEADS_TO (835)
USES_OR_APPLIES_TO,15881,5.5435%,1085,USES (3796); USED_IN (2262); APPLIED_TO (1828); APPLIES_TO (1201); USED_FOR (755)
REDUCES_OR_INHIBITS,12662,4.4198%,1696,DECREASES_WITH (2787); REDUCES (2235); DECREASES (1138); INHIBITS (475); DEGRADES (380)
PROCESSED_OR_SUBJECTED_TO,9739,3.3995%,701,SUBJECTED_TO (1571); UNDERGOES (1485); PROCESSED_BY (650); DERIVED_FROM (623); PROCESSES (381)
COMPARES_WITH,7413,2.5876%,524,CONTRASTS_WITH (1430); DIFFERS_FROM (725); COMPARED_WITH (700); OUTPERFORMS (640); COMPARED_TO (380)
DEPENDS_ON_OR_REQUIRES,6945,2.4242%,500,DEPENDS_ON (3344); REQUIRES (1660); BASED_ON (480); GOVERNED_BY (167); CONSTRAINS (150)
LOCATED_OR_OCCURS_IN,6714,2.3436%,387,ADJACENT_TO (1256); DISTRIBUTED_IN (1020); OCCURS_IN (966); PRESENT_IN (391); LOCATED_IN (316)
CORRELATES_WITH,6310,2.2026%,481,CORRELATES_WITH (2629); ASSOCIATED_WITH (1014); RELATED_TO (428); CORRESPONDS_TO (339); RELATES_TO (258)
MODELS_OR_PREDICTS,5644,1.9701%,568,PREDICTS (1029); MODELS (1015); SIMULATES (441); QUANTIFIES (288); CALCULATES (287)
DESCRIBES_OR_DEFINES,5573,1.9453%,609,DESCRIBES (972); DEFINES (676); DEFINED_BY (413); INFORMS (340); EXPLAINS (334)
PUBLICATION_METADATA,3707,1.2940%,189,AUTHORED (1026); ACKNOWLEDGES_FUNDING_FROM (348); PUBLISHED_IN (301); CO-AUTHORED (197); FUNDED_BY (187)
CONNECTS_OR_FLOWS_TO,3056,1.0667%,188,FLOWS_INTO (1037); FLOWS_TO (472); CONNECTS_TO (396); EXTENDS (238); JOINS (156)
IS_A,2819,0.9840%,234,IS_A (981); IS_TYPE_OF (371); IS_INSTANCE_OF (306); IS_A_TYPE_OF (131); IS_VARIANT_OF (121)
INTERACTS_WITH,1884,0.6576%,112,INTERACTS_WITH (434); COMBINES_WITH (315); COMBINED_WITH (254); COEXISTS_WITH (215); REACTS_WITH (200)
TEMPORAL_ORDER,1875,0.6545%,232,FOLLOWS (636); PRECEDES (341); FOLLOWED_BY (233); OCCURS_DURING (129); FOLLOWS_WITH (59)
NO_EFFECT_OR_EXCLUDES,1021,0.3564%,140,LACKS (255); EXCLUDES (213); DOES_NOT_AFFECT (131); HAS_NO_EFFECT_ON (129); EXCLUDED_FROM (51)
