raw_relation,normalized_relation,count
EXHIBITS,HAS_OR_EXHIBITS,17774
CONTAINS,CONTAINS_OR_PART_OF,11291
INCLUDES,CONTAINS_OR_PART_OF,6432
AFFECTS,AFFECTS_OR_INFLUENCES,6008
INFLUENCES,AFFECTS_OR_INFLUENCES,5165
CAUSES,CAUSES_OR_CONTRIBUTES_TO,4177
USES,USES_OR_APPLIES_TO,3796
HAS_VALUE_AT,HAS_OR_EXHIBITS,3539
DEPENDS_ON,DEPENDS_ON_OR_REQUIRES,3344
INCREASES,PROMOTES_OR_INCREASES,2801
DECREASES_WITH,REDUCES_OR_INHIBITS,2787
PRODUCES,PRODUCES_OR_TRANSFORMS_TO,2769
CONTRIBUTES_TO,CAUSES_OR_CONTRIBUTES_TO,2727
FORMS,PRODUCES_OR_TRANSFORMS_TO,2646
CORRELATES_WITH,CORRELATES_WITH,2629
INCREASES_WITH,PROMOTES_OR_INCREASES,2477
USED_IN,USES_OR_APPLIES_TO,2262
ENABLES,PROMOTES_OR_INCREASES,2242
REDUCES,REDUCES_OR_INHIBITS,2235
OBSERVED_IN,OBSERVES_OR_MEASURES,2046
IMPROVES,PROMOTES_OR_INCREASES,1903
APPLIED_TO,USES_OR_APPLIES_TO,1828
PART_OF,CONTAINS_OR_PART_OF,1784
ENHANCES,PROMOTES_OR_INCREASES,1668
REQUIRES,DEPENDS_ON_OR_REQUIRES,1660
SUBJECTED_TO,PROCESSED_OR_SUBJECTED_TO,1571
UNDERGOES,PROCESSED_OR_SUBJECTED_TO,1485
ANALYZES,OBSERVES_OR_MEASURES,1465
CONTRASTS_WITH,COMPARES_WITH,1430
INDUCES,CAUSES_OR_CONTRIBUTES_TO,1358
MEASURES,OBSERVES_OR_MEASURES,1331
ADJACENT_TO,LOCATED_OR_OCCURS_IN,1256
GENERATES,PRODUCES_OR_TRANSFORMS_TO,1243
CHARACTERIZES,OBSERVES_OR_MEASURES,1234
APPLIES_TO,USES_OR_APPLIES_TO,1201
DECREASES,REDUCES_OR_INHIBITS,1138
HAS,HAS_OR_EXHIBITS,1135
TRANSFORMS_TO,PRODUCES_OR_TRANSFORMS_TO,1072
FLOWS_INTO,CONNECTS_OR_FLOWS_TO,1037
PREDICTS,MODELS_OR_PREDICTS,1029
AUTHORED,PUBLICATION_METADATA,1026
DISTRIBUTED_IN,LOCATED_OR_OCCURS_IN,1020
MODELS,MODELS_OR_PREDICTS,1015
ASSOCIATED_WITH,CORRELATES_WITH,1014
IS_A,IS_A,981
DESCRIBES,DESCRIBES_OR_DEFINES,972
OCCURS_IN,LOCATED_OR_OCCURS_IN,966
RESULTS_IN,CAUSES_OR_CONTRIBUTES_TO,944
PROMOTES,PROMOTES_OR_INCREASES,935
LEADS_TO,CAUSES_OR_CONTRIBUTES_TO,835
ANALYZED_BY,OBSERVES_OR_MEASURES,788
DETERMINES,AFFECTS_OR_INFLUENCES,786
USED_FOR,USES_OR_APPLIES_TO,755
HAS_PROPERTY,HAS_OR_EXHIBITS,748
DIFFERS_FROM,COMPARES_WITH,725
COMPARED_WITH,COMPARES_WITH,700
REVEALS,OBSERVES_OR_MEASURES,697
DEFINES,DESCRIBES_OR_DEFINES,676
PROCESSED_BY,PROCESSED_OR_SUBJECTED_TO,650
CHARACTERIZED_BY,OBSERVES_OR_MEASURES,646
INDICATES,OBSERVES_OR_MEASURES,644
OUTPERFORMS,COMPARES_WITH,640
FOLLOWS,TEMPORAL_ORDER,636
DERIVED_FROM,PROCESSED_OR_SUBJECTED_TO,623
EVALUATES,OBSERVES_OR_MEASURES,614
TRIGGERS,CAUSES_OR_CONTRIBUTES_TO,554
FORMS_AT,PRODUCES_OR_TRANSFORMS_TO,550
MODIFIES,AFFECTS_OR_INFLUENCES,545
TESTED_AT,OBSERVES_OR_MEASURES,528
CONTROLS,AFFECTS_OR_INFLUENCES,504
BASED_ON,DEPENDS_ON_OR_REQUIRES,480
INHIBITS,REDUCES_OR_INHIBITS,475
FLOWS_TO,CONNECTS_OR_FLOWS_TO,472
INVOLVES,CONTAINS_OR_PART_OF,461
SUPPORTS,PROMOTES_OR_INCREASES,459
OPTIMIZES,OTHER,443
SIMULATES,MODELS_OR_PREDICTS,441
PROMOTES_FORMATION_OF,PROMOTES_OR_INCREASES,438
COMPOSED_OF,CONTAINS_OR_PART_OF,437
DETECTS,OBSERVES_OR_MEASURES,436
INTERACTS_WITH,INTERACTS_WITH,434
RELATED_TO,CORRELATES_WITH,428
DEFINED_BY,DESCRIBES_OR_DEFINES,413
IDENTIFIES,OBSERVES_OR_MEASURES,403
SHOWS,OBSERVES_OR_MEASURES,399
CONNECTS_TO,CONNECTS_OR_FLOWS_TO,396
STUDIES,OBSERVES_OR_MEASURES,391
PRESENT_IN,LOCATED_OR_OCCURS_IN,391
EXHIBIT,HAS_OR_EXHIBITS,391
INFLUENCED_BY,AFFECTS_OR_INFLUENCES,388
ANALYZED_WITH,OBSERVES_OR_MEASURES,385
PROCESSES,PROCESSED_OR_SUBJECTED_TO,381
COMPARED_TO,COMPARES_WITH,380
DEGRADES,REDUCES_OR_INHIBITS,380
TRANSFORMS_INTO,PRODUCES_OR_TRANSFORMS_TO,378
SUPPRESSES,REDUCES_OR_INHIBITS,376
INVESTIGATES,OBSERVES_OR_MEASURES,372
ALTERS,AFFECTS_OR_INFLUENCES,372
IS_TYPE_OF,IS_A,371
HOSTS,OTHER,349
ACKNOWLEDGES_FUNDING_FROM,PUBLICATION_METADATA,348
PRECEDES,TEMPORAL_ORDER,341
INFORMS,DESCRIBES_OR_DEFINES,340
