word,count,keep
"γ' phase",533,Y
"M₂₃C₆",254,Y
"M₂₃C₆ carbide",164,Y
"M₂₃C₆ carbides",145,Y
"Inconel 718",145,Y
"MC carbides",137,Y
"Transmission Electron Microscopy (TEM)",122,Y
"M₆C",109,Y
"γ phase",106,Y
"γ'' phase",98,Y
"Al₂O₃",97,Y
"Dislocations",97,Y
"M₆C carbide",96,Y
"Aluminum (Al)",92,Y
"Matrix",92,Y
"γ' precipitates",88,Y
"grain boundaries",85,Y
"Hardness",85,Y
"Aluminum",84,Y
"Yield Strength",82,Y
"MC carbide",79,Y
"Surface roughness",77,Y
"δ phase",72,Y
"Chromium",71,Y
"Ni₃Al",70,Y
"Chromium (Cr)",70,Y
"Heat treatment",67,Y
"Tensile strength",67,Y
"Carbon",67,Y
"Hydrogen",65,Y
"Grain size",64,Y
"X-ray diffraction (XRD)",64,Y
"plastic deformation",64,Y
"Transmission electron microscopy",64,Y
"γ matrix",64,Y
"Oxidation",63,Y
"Carbides",62,Y
"α phase",62,Y
"Iron",62,Y
"GH4169",62,Y
"Alloy 718",61,Y
"Titanium",60,Y
"Nickel-base superalloys",60,Y
"Ni-based superalloy",57,Y
"Molybdenum",57,Y
"Nickel (Ni)",56,Y
"Carbon (C)",55,Y
"Elongation",54,Y
"Molybdenum (Mo)",54,Y
"Tungsten",53,Y
"TEM",52,Y
"Iron (Fe)",52,Y
"Corrosion resistance",51,Y
"M₆C carbides",51,Y
"superalloys",50,Y
"UNS N07718",50,Y
"Silicon (Si)",49,Y
"Tensile properties",48,Y
"defects",47,Y
"Tungsten (W)",47,Y
"nickel-based superalloy",47,Y
"Nickel-based superalloys",46,Y
"Sulfur",46,Y
"Boron",45,Y
"Waspaloy",43,Y
"Recrystallization",42,Y
"Magnesium (Mg)",41,Y
"XRD",40,Y
"National Natural Science Foundation of China",40,Y
"Ultimate Tensile Strength",40,Y
"Titanium (Ti)",40,Y
"Carbon content",39,Y
"martensite",38,Y
"Fatigue life",38,Y
"Scanning electron microscopy (SEM)",37,Y
"Copper",37,Y
"alloying elements",37,Y
"residual stress",37,Y
"Nitrogen",37,Y
"Annealing",37,Y
"Grain boundaries (GBs)",36,Y
"Silicon",36,Y
"room temperature",36,Y
"Porosity",36,Y
"MC碳化物",36,Y
"Nickel",35,Y
"Laves phase",35,Y
"Ni-based superalloys",35,Y
"Cobalt",35,Y
"Precipitates",34,Y
"Young's modulus",34,Y
"Copper (Cu)",34,Y
"Creep rupture strength",34,Y
"Solution treatment",34,Y
"Annealing temperature",34,Y
"Numerical simulation",34,Y
"stacking faults",33,Y
"β phase",33,Y
"temperature gradient",33,Y
"Cracks",33,Y
"Grains",33,Y
"TiO₂",33,Y
"NiO",33,Y
"Test Temperature",33,Y
"Dynamic recrystallization (DRX)",32,Y
"MD simulations",32,Y
"Turbine blades",32,Y
"Phosphorus",32,Y
"MgO",32,Y
"CaO",32,Y
"γ" phase",32,Y
"SEM",31,Y
"Density Functional Theory (DFT)",31,Y
"Cr₂O₃",31,Y
"Grain Structure",31,Y
"Zirconium",30,Y
"DFT calculations",30,Y
"Dislocation density",30,Y
"Microhardness",30,Y
"Oxygen",30,Y
"Boron (B)",30,Y
"Time to rupture",30,Y
"Nitrogen (N)",30,Y
"Ni-base superalloy",30,Y
"Viscosity",29,Y
"magnetic field",29,Y
"microstructure evolution",29,Y
"Ni-base superalloys",29,Y
"γ'' precipitates",29,Y
"镁 (Mg)",29,Y
"EBSD",28,Y
"SiO₂",28,Y
"superalloy",28,Y
"铝 (Al)",28,Y
"Thermal Conductivity",27,Y
"Cobalt (Co)",27,Y
"Microcracks",27,Y
"Al (Aluminum)",27,Y
"Chemical composition",27,Y
"Mo (Molybdenum)",27,Y
"Grain",27,Y
"Flow stress",27,Y
"liquid phase",27,Y
"nickel-base alloys",27,Y
"dynamic recrystallization",26,Y
"ceramics",26,Y
"Finite Element Method (FEM)",26,Y
"Sulfur (S)",26,Y
"Standard Heat Treatment",26,Y
"Oxidation resistance",25,Y
"activation energy",25,Y
"σ phase",25,Y
"Selective Laser Melting (SLM)",25,Y
"Electron backscatter diffraction (EBSD)",24,Y
"X-ray diffraction",24,Y
"gas turbines",24,Y
"Oxygen (O)",24,Y
"Voids",24,Y
"Magnesium",24,Y
"Cr (Chromium)",24,Y
"nickel-base superalloy",24,Y
"Table 1",23,Y
"point defects",23,Y
"Substrate",23,Y
"δ-phase",23,Y
"Inconel 625",23,Y
"W (Tungsten)",22,Y
"microstructural evolution",22,Y
"Molecular Dynamics (MD) simulations",22,Y
"Fine grains",22,Y
"fracture toughness",22,Y
"Zirconium (Zr)",22,Y
"electrical resistivity",22,Y
"Ni atoms",22,Y
"casting defects",22,Y
"Alloy C",22,Y
"Table 2",21,Y
"Welding",21,Y
"electrical conductivity",21,Y
"Grain boundary",21,Y
"Inconel 600",21,Y
"H₂O",21,Y
"Scanning electron microscopy",21,Y
"Shell",21,Y
"Energy dispersive spectroscopy (EDS)",21,Y
"M₆C phase",21,Y
"碳 (C)",21,Y
"M₂₃C₆碳化物",21,Y
"硫 (S)",21,Y
"Ni-based single crystal superalloy",21,Y
"cooling rate",20,Y
"Supplementary material",20,Y
"Strain rate",20,Y
"Aerospace industry",20,Y
"Lattice distortion",20,Y
"lattice parameters",20,Y
"NbC",20,Y
"Aging Time",20,Y
"electric field",20,Y
"Y₂O₃",20,Y
"Anisotropy",20,Y
"Crucible",20,Y
"硅 (Si)",20,Y
"铁 (Fe)",20,Y
"M₂₃C₆型碳化物",20,Y
"Vacancies",19,Y
"Solution heat treatment",19,Y
"X-ray photoelectron spectroscopy (XPS)",19,Y
"Finite element simulation",19,Y
"Mg alloys",19,Y
"Manganese (Mn)",19,Y
"Niobium",19,Y
"MEA-AT-700",19,Y
"Nb (Niobium)",19,Y
"Ti-6Al-4V",19,Y
"GH4169合金",19,Y
"Germanium",19,Y
"HCl",19,Y
"Aluminium",19,Y
"Residual stresses",19,Y
"Laser Powder Bed Fusion (LPBF)",19,Y
"Alloy B",19,Y
"HT₁",19,Y
"γ'-phase",19,Y
"钛 (Ti)",19,Y
"铬 (Cr)",19,Y
"Nickel-based alloys",18,Y
"Scanning electron microscope (SEM)",18,Y
"Vanadium",18,Y
"Applied Stress",18,Y
"Ductility",18,Y
"Region B",18,Y
"grain refinement",18,Y
"Phase transformation",18,Y
"Carbide",18,Y
"Hot Isostatic Pressing (HIP)",18,Y
"ZnO",18,Y
"Oxide film",18,Y
"Laser power",18,Y
"Cu atoms",18,Y
"Al₂O₃ layer",18,Y
"γ-phase",18,Y
"Mold",18,Y
"Coarse grains",18,Y
"Alloy 3",18,Y
"Micro-hardness",18,Y
"microstructures",17,Y
"Columnar grains",17,Y
"finite element model",17,Y
"Pores",17,Y
"Grain interior",17,Y
"LAMMPS",17,Y
"Silver (Ag)",17,Y
"Al atoms",17,Y
"Creep",17,Y
"ZrO₂",17,Y
"Ni₃Ti",17,Y
"Manganese",17,Y
"secondary phases",17,Y
"IN718",17,Y
"polymers",17,Y
"Inclusions",17,Y
"Graphite",17,Y
"Ti (Titanium)",17,Y
"process parameters",17,Y
"turbine disks",17,Y
"γ' (gamma prime)",17,Y
"microtwins",17,Y
"Testing Temperature",17,Y
"HT₂",17,Y
"Thermal exposure",17,Y
"γ'-Ni₃Al",17,Y
"铜 (Cu)",17,Y
"γ' phases",17,Y
"Ferrite",16,Y
"Density",16,Y
"Twin boundaries",16,Y
"Stage III",16,Y
"Plasticity",16,Y
"crack propagation",16,Y
"Elastic Modulus",16,Y
"Diamond",16,Y
"Oxide layer",16,Y
"Frequency",16,Y
